Taba_Number,Serial_ID
502-0126813,2044
502-0127050,1944
502-0132522,2255
502-0142976,2008
502-0143628,1951
502-0145177,2002
502-0147678,1989
502-0149179,1908
502-0151852,2018
502-0151878,1892
502-0153635,1914
502-0154997,1915
502-0155630,1748
502-0159145,1947
502-0160044,1946
502-0163170,2239
502-0176826,1875
502-0177428,1948
502-0178285,1953
502-0179986,2048
502-0189183,1800
502-0189720,1969
502-0190595,2019
502-0191270,1952
502-0191643,2136
502-0195966,2037
502-0196659,1724
502-0201483,1889
502-0216473,2110
502-0222323,2100
502-0222596,2244
502-0239673,1983
502-0245712,1910
502-0248567,2376
502-0250647,2237
502-0254953,1822
502-0256107,2347
502-0258467,2238
502-0262659,2362
502-0272013,2289
502-0275826,2370
502-0284331,2410
502-0285213,2429
502-0300566,2041
502-0301242,2375
502-0301713,2040
502-0302729,2437
502-0304378,2448
502-0310714,2054
502-0316588,1888
502-0316752,2107
502-0317495,2518
502-0320358,2515
502-0322198,2479
502-0326728,2374
502-0327619,2543
502-0338707,2620
502-0341255,2663
502-0346007,2120
502-0351858,2520
502-0352799,2572
502-0358069,1872
502-0361071,2115
502-0367003,2280
502-0371294,2693
502-0372383,2694
502-0373878,2692
502-0374058,2667
502-0379883,2478
502-0379925,2727
502-0384776,2454
502-0386128,2691
502-0396747,2671
502-0400747,2450
502-0404723,2050
502-0413625,2639
502-0414052,2856
502-0414417,2778
502-0423228,2616
502-0424911,2637
502-0433599,2854
502-0436261,2809
502-0444448,2828
502-0472811,2862
502-0475459,2857
502-0476606,2859
502-0485797,2867
502-0491639,2916
502-0492876,2912
502-0500645,2870
502-0501494,2907
502-0518068,2915
502-0547950,2919
502-0570358,2904
502-0584417,3076
502-0585711,2970
502-0586131,2949
502-0599779,3001
502-0602078,3067
502-0604900,2926
502-0612366,3103
502-0616664,3098
502-0619833,3089
502-0620401,3077
502-0624999,2765
502-0632604,3008
502-0638973,3110
502-0643379,3073
502-0643676,3117
502-0645630,3096
502-0650317,3122
502-0671453,3134
502-0692178,3170
502-0695130,3138
502-0707836,3102
502-0709428,3163
502-0713024,3157
502-0717900,3172
502-0718411,3136
502-0725861,3214
502-0727248,3183
502-0729590,3178
502-0730242,3162
502-0749986,3179
502-0798181,3219
502-0799239,3197
502-0804310,3245
502-0805655,3243
502-0825307,3201
502-0849034,3215
502-0855882,3217
502-0897686,3295
502-0897942,3277
502-0902049,3249
502-0905208,3231
502-0915959,3246
502-0921064,3240
502-0922922,3321
502-0923219,3259
502-0923250,3293
502-0923730,3250
502-0933259,3286
502-0942177,3270
502-0950089,3258
502-0968743,3257
502-0969345,2647
502-1026673,3276
502-1042118,3289
502-1060862,3284
502-1060870,3411
502-1060888,3330
502-1061068,3281
502-1070549,3280
502-1079789,3298
502-1087055,3294
502-1115864,3331
502-1119742,3300
502-1138890,3318
502-1176924,3338
502-1183094,3332
502-1194653,3356
502-1239953,3454
502-1283084,3426
502-1291236,3459
502-1315621,3422
502-1325695,3448
502-1337831,3432
502-1347848,3438
502-1359769,3523
502-1365170,3478
502-1392596,3464
502-1394667,3480
502-1398890,3482
502-1428911,3483
502-1432996,3505
502-1480565,3518
